Unnamed: 0,system,e_above,e_above_im,hmix,stability,phase,cost,bcc_delta,hcp_delta,decomposition,Tm,T,density,youngs,delta_r,gam_r,chi,lambda_s,vec,hmix_m,omega,tann_s,im_eform,kappa,him_hmix,m1,m2,m3,m4,m6,m7,mvec
89393,Ni-Pd-Pt-V,-0.059,-0.021,-0.241,stable,FCC,12088.13,0.05,0.024,['Ni1Pd1Pt1V1_SS_FCC'],1945,1751,12.627116093366094,154.25,1.58903743813658,1.0401084395376567,0.25656383221335,4.5648166198326185,8.75,-25.425,0.8817596847771265,-0.2091130390883621,-0.5574155875000013,1.3174334865197657,1.1689315922701455,unstable,unstable,unstable,stable,unstable,stable,FCC
89394,Mo-Nb-Rh-Ru,-0.08,-0.08,-0.377,stable,BCC,2209.48,-0.055,-0.009,['Mo1Nb1Rh1Ru1_SS_BCC'],2622,2360,10.715272231314785,289.0,4.681218398834798,1.1242731888699535,0.2690724809414741,0.5259855191104141,7.0,-30.0,1.0074025062874383,-0.2818994285294012,-0.5250592991666672,1.3626649022634778,0.977907781241958,unstable,unstable,unstable,unstable,unstable,stable,IM
89401,Ni-Pd-Pt-W,-0.065,-0.06,-0.155,stable,FCC,12095.36,0.103,0.029,['Ni1Pd1Pt1W1_SS_FCC'],2323,2091,16.138754078908338,225.0,1.58903743813658,1.0401084395376567,0.1699080633754619,4.5648166198326185,9.0,-8.175,3.275314763722236,-0.2497530024690309,-0.3456514166666657,2.179113314940005,2.1539388891314992,stable,stable,stable,stable,unstable,stable,FCC
89405,Nb-Ni-Re-Rh,-0.064,-0.03,-0.308,stable,BCC,2924.31,-0.056,-0.019,['Nb1Ni1Re1Rh1_SS_BCC'],2544,2289,12.752091435185186,260.75,3.14918328648886,1.0806209038996324,0.2410783067801828,1.1622397336077486,7.75,-24.825000000000003,1.181189136769857,-0.2735134043397395,-0.5250592991666672,1.4252280892371485,1.331471862684359,stable,unstable,unstable,stable,unstable,stable,IM
89410,Nb-Ni-Re-Ru,-0.078,-0.052,-0.327,stable,BCC,1025.69,-0.09,-0.026,['Nb1Ni1Re1Ru1_SS_BCC'],2636,2372,12.739529172714075,303.75,3.998989856459325,1.1252610616146723,0.2121762239271875,0.7207605189209385,7.5,-23.75,1.2793029057322354,-0.2834046123583149,-0.2929664874999993,1.4605490460636048,0.965176380551999,stable,unstable,unstable,unstable,unstable,stable,IM
89411,Ru-Si-Ta-V,-0.127,-0.072,-0.651,stable,BCC,214.92,-0.132,-0.034,['Ru1Si1Ta1V1_SS_BCC'],2442,2198,9.163575634517768,202.0,9.8058067569092,1.3419058564242352,0.2686424203285848,0.1198739824415259,5.5,-39.125,0.7194206564812143,-0.2625470650147971,-0.6566378950000002,1.258991436333237,1.624696628453782,unstable,unstable,unstable,unstable,unstable,unstable,BCC
89412,Mn-Nb-Os-Pd,-0.065,-0.032,-0.311,stable,BCC,5206.15,-0.06,-0.006,['Mn1Nb1Os1Pd1_SS_BCC'],2351,2116,12.642048492605232,237.25,3.9269359851717778,1.1242731888699538,0.3129996006387229,0.7474531061042713,7.5,-32.6,0.8312403631430724,-0.2527633701268583,-0.4261377833333337,1.299246530731506,0.836302421268931,unstable,unstable,unstable,unstable,unstable,stable,IM
89413,Mo-Nb-Rh-Si,-0.106,-0.02,-0.629,stable,BCC,2056.81,-0.115,-0.055,['Mo1Nb1Rh1Si1_SS_BCC'],2392,2153,7.887481627620223,189.0,10.696750600242616,1.337257773561927,0.2612948526090783,0.1007367311342505,6.0,-38.05,0.7245996310525873,-0.2571714084829626,-0.8264737975000003,1.2608558671789316,1.8374058337508972,unstable,unstable,unstable,unstable,unstable,unstable,BCC
89417,Mn-Nb-Os-Pt,-0.056,-0.035,-0.436,stable,BCC,12388.6,-0.055,0.004,['Mn1Nb1Os1Pt1_SS_BCC'],2404,2164,14.938594144017936,249.0,4.065578140908704,1.124764770245576,0.3341687447981932,0.6973438401646472,7.5,-39.525,0.7010583705284584,-0.2584615660506028,-0.7041938450000002,1.252381013390245,0.9515717954481344,unstable,unstable,unstable,unstable,unstable,stable,IM
89419,Ru-Si-Ta-W,-0.076,-0.031,-0.499,stable,BCC,222.14,-0.091,-0.024,['Ru1Si1Ta1W1_SS_BCC'],2820,2538,12.1810944512947,272.75,9.8058067569092,1.3419058564242352,0.327566787083184,0.1198739824415259,5.75,-32.725,0.9932556575339452,-0.3031870283954659,-0.6566378950000002,1.3575720367122202,1.5897628134356063,unstable,unstable,unstable,unstable,unstable,unstable,BCC
